"Competition Name","Season","Match Date","Home Team","Away Team","    ","Score Home","Score Away","    ","Score Home HT","Score Away HT","    ","Odds Home", "Odds Away"
"Top 14","2013/14","08.09.2013 11:00","Brive","Bayonne","","17","10","","0","0","","0.666666666667","1.2"
"Top 14","2013/14","08.09.2013 11:00","Grenoble FC","Bordeaux Begles","","21","14","","9","6","","0.0909090909091","8.0"
"Top 14","2013/14","08.09.2013 11:00","Racing 92","Usap Perpignan","","19","16","","9","6","","0.0","9.0"
"Top 14","2013/14","08.09.2013 11:00","Union Sportive Oyonnax","Castres Olympique","","19","9","","6","3","","1.2","0.666666666667"
"Top 14","2013/14","08.09.2013 08:30","Montpellier Herault RC","Stade Toulousain","","25","0","","10","0","","0.4","2.0"
"Top 14","2013/14","04.09.2013 14:05","Stade Toulousain","Racing 92","","30","6","","16","3","","0.111111111111","5.5"
"Top 14","2013/14","04.09.2013 12:00","Bordeaux Begles","Montpellier Herault RC","","29","36","","16","23","","0.545454545455","1.5"
"Top 14","2013/14","04.09.2013 12:00","Clermont","Bayonne","","55","0","","34","0","","0.0","16.0"
"Top 14","2013/14","04.09.2013 12:00","Toulon","Brive","","62","12","","20","12","","None","25.0"
"Top 14","2013/14","04.09.2013 12:00","Union Sportive Oyonnax","Biarritz","","24","22","","18","6","","0.444444444444","1.8"
"Top 14","2013/14","04.09.2013 12:00","Usap Perpignan","Grenoble FC","","36","13","","24","7","","0.0","12.0"
"Top 14","2013/14","04.09.2013 11:45","Castres Olympique","Stade Francais","","38","10","","12","10","","0.125","5.0"
"Top 14","2013/14","31.08.2013 13:35","Grenoble FC","Toulon","","28","26","","15","12","","2.2","0.363636363636"
"Top 14","2013/14","31.08.2013 13:30","Bayonne","Usap Perpignan","","31","20","","13","9","","0.333333333333","2.4"
"Top 14","2013/14","31.08.2013 11:30","Bordeaux Begles","Castres Olympique","","21","20","","12","9","","0.8","1.0"
"Top 14","2013/14","31.08.2013 11:30","Montpellier Herault RC","Brive","","33","24","","12","3","","0.0","12.0"
"Top 14","2013/14","31.08.2013 11:30","Racing 92","Union Sportive Oyonnax","","22","9","","6","9","","0.0","16.0"
"Top 14","2013/14","31.08.2013 08:00","Clermont","Stade Toulousain","","38","19","","13","10","","0.1","6.0"
"Top 14","2013/14","30.08.2013 13:50","Stade Francais","Biarritz","","38","3","","16","3","","0.111111111111","5.5"
"Top 14","2013/14","24.08.2013 13:35","Brive","Bordeaux Begles","","25","12","","15","6","","0.6","1.28571428571"
"Top 14","2013/14","24.08.2013 11:30","Biarritz","Montpellier Herault RC","","19","12","","3","6","","0.8","1.0"
"Top 14","2013/14","24.08.2013 11:30","Castres Olympique","Grenoble FC","","34","6","","15","3","","0.0","10.0"
"Top 14","2013/14","24.08.2013 11:30","Stade Toulousain","Bayonne","","40","3","","12","3","","0.1","6.0"
"Top 14","2013/14","24.08.2013 11:30","Usap Perpignan","Stade Francais","","27","28","","20","16","","0.222222222222","3.33333333333"
"Top 14","2013/14","24.08.2013 08:00","Union Sportive Oyonnax","Clermont","","30","19","","20","0","","3.5","0.2"
"Top 14","2013/14","23.08.2013 13:50","Toulon","Racing 92","","41","14","","13","6","","0.142857142857","4.0"
"Top 14","2013/14","17.08.2013 13:35","Usap Perpignan","Castres Olympique","","26","23","","13","13","","0.5","1.625"
"Top 14","2013/14","17.08.2013 11:30","Bayonne","Union Sportive Oyonnax","","39","11","","22","6","","0.0909090909091","6.5"
"Top 14","2013/14","17.08.2013 11:30","Bordeaux Begles","Stade Toulousain","","31","25","","16","12","","1.2","0.666666666667"
"Top 14","2013/14","17.08.2013 11:30","Grenoble FC","Stade Francais","","19","16","","6","9","","0.5","1.625"
"Top 14","2013/14","17.08.2013 11:30","Racing 92","Brive","","19","14","","10","5","","0.0","9.0"
"Top 14","2013/14","17.08.2013 08:00","Biarritz","Clermont","","18","22","","6","16","","0.9","0.9"
"Top 14","2013/14","16.08.2013 13:45","Montpellier Herault RC","Toulon","","22","22","","13","3","","0.8","1.0"
"Top 14","2012/13","01.06.2013 14:00","Toulon","Castres Olympique","","14","19","","3","10","","0.25","3.0"
"Top 14","2012/13","25.05.2013 09:30","Clermont","Castres Olympique","","9","25","","3","12","","0.142857142857","4.0"
"Top 14","2012/13","24.05.2013 14:00","Toulon","Stade Toulousain","","24","9","","8","6","","0.8","1.0"
"Top 14","2012/13","11.05.2013 07:40","Castres Olympique","Montpellier Herault RC","","25","12","","12","9","","0.5","1.625"
"Top 14","2012/13","10.05.2013 14:00","Stade Toulousain","Racing 92","","33","19","","14","11","","0.285714285714","2.75"
"Top 14","2012/13","04.05.2013 07:45","Biarritz","Stade Francais","","52","17","","24","3","","0.125","5.0"
"Top 14","2012/13","04.05.2013 07:45","Clermont","Bordeaux Begles","","67","3","","25","3","","None","25.0"
"Top 14","2012/13","04.05.2013 07:45","Montpellier Herault RC","Usap Perpignan","","50","22","","25","3","","None","25.0"
"Top 14","2012/13","04.05.2013 07:45","Racing 92","Castres Olympique","","29","28","","22","6","","0.222222222222","3.33333333333"
"Top 14","2012/13","04.05.2013 07:45","Stade Montois","Bayonne","","33","36","","13","15","","1.28571428571","0.6"
"Top 14","2012/13","04.05.2013 07:45","Stade Toulousain","Grenoble FC","","57","7","","22","0","","None","25.0"
"Top 14","2012/13","04.05.2013 07:45","Toulon","Agen","","43","21","","31","7","","None","40.0"
"Top 14","2012/13","21.04.2013 09:10","Stade Francais","Racing 92","","19","16","","10","10","","2.2","0.363636363636"
"Top 14","2012/13","20.04.2013 13:40","Grenoble FC","Toulon","","25","24","","6","21","","1.8","0.444444444444"
"Top 14","2012/13","20.04.2013 11:30","Agen","Usap Perpignan","","23","15","","10","5","","2.2","0.363636363636"
"Top 14","2012/13","20.04.2013 11:30","Bayonne","Montpellier Herault RC","","32","26","","20","12","","1.375","0.571428571429"
"Top 14","2012/13","20.04.2013 11:30","Bordeaux Begles","Biarritz","","16","0","","10","0","","0.222222222222","3.33333333333"
